timestamp    , symbol  , lastPrice, riseFallRate, fairPrice, indexPrice, volume24 , amount24        , maxBidPrice, minAskPrice, lower24Price, high24Price, bid1   , ask1   , holdVol , riseFallValue, fundingRate, zone , riseFallRates                                       , riseFallRatesOfTimezone
1728824406105, BTC_USDT,   62637.7, -0.0077     ,   62637.7,    62664.1, 286957094, 1807776921.53063,     68930.5,     56397.6,      62490.2,     63460.3, 62637.6, 62637.7, 71137985, -487.2       , 2.8e-05    , UTC+8, "[-0.0077, 0.0081, 0.0898, 0.043, -0.0295, 1.3465]" , "[-0.006, -0.0085, -0.0077]"
1728824408099, BTC_USDT,   62637.5, -0.0077     ,   62637.6,    62664.1, 286957464, 1807779238.55455,     68930.5,     56397.6,      62490.2,     63460.3, 62631.8, 62631.9, 71137985, -487.4       , 2.8e-05    , UTC+8, "[-0.0077, 0.0081, 0.0898, 0.043, -0.0295, 1.3465]" , "[-0.006, -0.0085, -0.0077]"
1728824410105, BTC_USDT,   62631.9, -0.0078     ,   62631.9,    62663.8, 286958377, 1807784957.22054,     68930.1,     56397.4,      62490.2,     63460.3, 62631.8, 62631.9, 71136755, -493.0       , 2.8e-05    , UTC+8, "[-0.0078, 0.008, 0.0897, 0.0429, -0.0296, 1.3463]" , "[-0.006, -0.0086, -0.0078]"
1728824412110, BTC_USDT,   62627.0, -0.0078     ,   62631.8,    62662.4, 286963537, 1807817271.65957,     68928.6,     56396.1,      62490.2,     63460.3, 62627.0, 62627.1, 71148369, -497.9       , 2.8e-05    , UTC+8, "[-0.0078, 0.0079, 0.0896, 0.0428, -0.0297, 1.3461]", "[-0.0061, -0.0086, -0.0078]"
1728824415100, BTC_USDT,   62627.1, -0.0078     ,   62629.7,    62661.6, 286963564, 1807817445.07387,     68927.7,     56395.4,      62490.2,     63460.3, 62627.0, 62627.1, 71148369, -497.8       , 2.8e-05    , UTC+8, "[-0.0078, 0.0079, 0.0896, 0.0428, -0.0297, 1.3461]", "[-0.0061, -0.0086, -0.0078]"
1728824417111, BTC_USDT,   62627.0, -0.0078     ,   62629.7,    62661.6, 286964910, 1807825871.22915,     68927.7,     56395.4,      62490.2,     63460.3, 62626.5, 62626.6, 71148452, -497.9       , 2.8e-05    , UTC+8, "[-0.0078, 0.0079, 0.0896, 0.0428, -0.0297, 1.3461]", "[-0.0061, -0.0086, -0.0078]"
1728824419102, BTC_USDT,   62626.6, -0.0078     ,   62628.0,    62659.9, 286966093, 1807833279.07904,     68925.8,     56393.9,      62490.2,     63460.3, 62626.5, 62626.6, 71148459, -498.3       , 2.8e-05    , UTC+8, "[-0.0078, 0.0079, 0.0896, 0.0428, -0.0297, 1.3461]", "[-0.0061, -0.0086, -0.0078]"
1728824421100, BTC_USDT,   62626.5, -0.0078     ,   62628.0,    62659.9, 286966749, 1807837392.08095,     68925.8,     56393.9,      62490.2,     63460.3, 62626.5, 62626.6, 71148459, -498.4       , 2.8e-05    , UTC+8, "[-0.0078, 0.0079, 0.0896, 0.0428, -0.0297, 1.3461]", "[-0.0061, -0.0086, -0.0078]"
1728824424107, BTC_USDT,   62626.5, -0.0078     ,   62628.0,    62659.9, 286967212, 1807840291.19102,     68925.8,     56393.9,      62490.2,     63460.3, 62626.5, 62626.6, 71148644, -498.4       , 2.8e-05    , UTC+8, "[-0.0078, 0.0079, 0.0896, 0.0428, -0.0297, 1.3461]", "[-0.0061, -0.0086, -0.0078]"
1728824426100, BTC_USDT,   62626.6, -0.0078     ,   62628.0,    62659.9, 286967787, 1807843888.39456,     68925.8,     56393.9,      62490.2,     63460.3, 62626.5, 62626.6, 71149924, -498.3       , 2.8e-05    , UTC+8, "[-0.0078, 0.0079, 0.0896, 0.0428, -0.0297, 1.3461]", "[-0.0061, -0.0086, -0.0078]"
1728824428088, BTC_USDT,   62626.5, -0.0078     ,   62627.9,    62659.8, 286968200, 1807846476.25062,     68925.7,     56393.8,      62490.2,     63460.3, 62626.5, 62626.6, 71151200, -498.4       , 2.8e-05    , UTC+8, "[-0.0078, 0.0079, 0.0896, 0.0428, -0.0297, 1.3461]", "[-0.0061, -0.0086, -0.0078]"
